版本号,卡池1,卡池角色1,卡池2,卡池角色2
3.6.0,2025/9/24,长夜月,2025/10/15,丹恒•腾荒
3.5.0,2025/8/13,海瑟音,2025/9/2,刻律德菈
3.4.0,2025/7/2,白厄,2025/7/11,Saber
3.3.0,2025/5/21,风堇,2025/6/11,赛飞儿
3.2.0,2025/4/9,遐蝶,2025/4/30,那刻夏
3.1.0,2025/2/26,缇宝,2025/3/19,万敌
3.0.0,2025/1/15,大黑塔,2025/2/5,阿格莱雅
2.7.0,2024/12/4,星期日,2024/12/25,忘归人
2.6.0,2024/10/23,乱破,2024/11/13,无
2.5.0,2024/9/10,飞霄,2024/10/2,灵砂
2.4.0,2024/7/31,云璃,2024/8/21,椒丘
2.3.1,2024/6/19,流萤,2024/7/10,翡翠
2.2.0,2024/5/8,知更鸟,2024/5/29,波提欧
2.1.0,2024/3/27,黄泉,2024/4/17,砂金
2.0.0,2024/2/6,黑天鹅,2024/2/29,花火
1.6.0,2023/12/27,阮•梅,2024/1/17,真理医生
1.5.0,2023/11/15,藿藿,2023/12/6,银枝
1.4.0,2023/10/11,镜流,2023/10/27,托帕&账账
1.3.0,2023/8/30,丹恒•饮月,2023/9/20,符玄
1.2.0,2023/7/19,刃,2023/8/9,卡芙卡
1.1.0,2023/6/7,银狼,2023/6/28,罗刹
